date,信号数,次日收涨率,可盈利卖出率,平均最大可卖收益,平均次日收盘收益,次日大盘涨跌
2025-11-14,12.0,0.16666666666666666,0.8333333333333334,0.027222584492767793,-0.008026327198529748,-0.004625998310984314
2025-11-17,41.0,0.2682926829268293,0.6097560975609756,0.013950505417651431,-0.021816524191052518,-0.008111721210564915
2025-11-18,14.0,0.14285714285714285,0.5714285714285714,0.011171725470998714,-0.020830695140246984,0.0017589680720644374
2025-11-19,19.0,0.3684210526315789,0.6842105263157895,0.024561048757598593,-0.00962792841734315,-0.003975432888915775
2025-11-20,10.0,0.2,0.6,0.008059985929481428,-0.04226365778456378,-0.02446165782678933
2025-11-21,5.0,0.8,1.0,0.08401971866924333,0.059135971173031335,0.0004902357042835259
2025-11-24,56.0,0.4642857142857143,0.8392857142857143,0.0301481598518881,0.007551151761345986,0.008666143657295011
2025-11-25,23.0,0.30434782608695654,0.782608695652174,0.029600491220448423,-0.002730472833373581,-0.00150903612901232
2025-11-26,9.0,0.2222222222222222,0.7777777777777778,0.010118010028012566,-0.013103955661634494,0.0028673612512875035
2025-11-27,17.0,0.5294117647058824,0.7647058823529411,0.024744306847150597,0.008766937204215886,0.0034423496746023297
2025-11-28,54.0,0.5185185185185185,0.8703703703703703,0.02738508410580127,0.0015106683590559568,0.00653448541891688
2025-12-01,87.0,0.2413793103448276,0.632183908045977,0.011706822472207537,-0.012767724646191659,-0.0041645269174069854
2025-12-02,20.0,0.3,0.7,0.02063301983769933,-0.009520067462861959,-0.005056815412126658
2025-12-03,15.0,0.2,0.5333333333333333,0.003408591615161079,-0.02635635607263104,-0.0005698813821557458
2025-12-04,28.0,0.5714285714285714,0.7142857142857143,0.02776100787430991,0.009044159022733284,0.006971481943036206
2025-12-05,93.0,0.6666666666666666,0.9354838709677419,0.04272603277386279,0.015060905807981018,0.0054499194170354315
2025-12-08,69.0,0.3333333333333333,0.855072463768116,0.02248380910660238,-0.004797508636611333,-0.0037104238445698767
2025-12-09,20.0,0.3,0.65,0.007304368620420343,-0.015450445710553484,-0.00230718860627388
2025-12-10,60.0,0.26666666666666666,0.7833333333333333,0.025760995889101693,-0.01104659359996736,-0.00696833739264191
2025-12-11,19.0,0.7368421052631579,0.9473684210526315,0.0607038598267306,0.03908273089269472,0.004138568463230463
2025-12-12,102.0,0.3235294117647059,0.7156862745098039,0.022936889616787276,-0.010176809555758651,-0.005509918109709799
2025-12-15,13.0,0.38461538461538464,0.6153846153846154,0.01005763382929065,-0.02660947243492228,-0.011145525243541732
2025-12-16,17.0,0.17647058823529413,0.5882352941176471,0.01371886251314893,-0.015697920994273442,0.011888172222934035
2025-12-17,41.0,0.0975609756097561,0.7317073170731707,0.008929211763846931,-0.023220077728943876,0.0015735295637524516
2025-12-18,5.0,0.8,1.0,0.12312346167293478,0.05945426760561421,0.0036322642059452015
2025-12-19,45.0,0.3333333333333333,0.8888888888888888,0.023145954923274523,-0.0008900979406978118,0.0069169376293232165
2025-12-22,34.0,0.3235294117647059,0.7647058823529411,0.029065047926869515,-0.00012953106567186964,0.0006688177752363078
2025-12-23,38.0,0.5263157894736842,0.8421052631578947,0.03538988468919783,0.019379484012695514,0.005349517089372924
2025-12-24,122.0,0.5245901639344263,0.9180327868852459,0.027498704748527506,0.009236649626917419,0.004737436404927742
2025-12-25,118.0,0.3559322033898305,0.8220338983050848,0.0236419230652746,-0.00145123692398639,0.0010253509175122133
2025-12-26,51.0,0.29411764705882354,0.7843137254901961,0.025768445346082473,-0.005865633430896418,0.0004036652807493102
2025-12-29,30.0,0.3333333333333333,0.8,0.032003423182263686,-0.005158226207404356,-4.035024008397503e-05
2025-12-30,45.0,0.24444444444444444,0.7111111111111111,0.016056852736034875,-0.011903080012230347,0.000938180937777533
2025-12-31,48.0,0.6041666666666666,0.9166666666666666,0.04041586553562876,0.01693181595614743,0.013752129085576659
2026-01-05,125.0,0.656,0.856,0.023109954547035932,0.009913926780021577,0.014974822414761668
2026-01-06,100.0,0.39,0.77,0.02671984697765202,0.00023856133048626326,0.0005142433154490256
2026-01-07,76.0,0.4868421052631579,0.868421052631579,0.031319476706881934,0.005974457360311551,-0.0006828578211696135
2026-01-08,90.0,0.7555555555555555,0.9444444444444444,0.05472043245585333,0.027730303799159105,0.00917222224943548
2026-01-09,227.0,0.748898678414097,0.9515418502202643,0.06249927657078454,0.045831906579594725,0.010887213227745551
2026-01-12,395.0,0.11645569620253164,0.7240506329113924,0.01756911541454453,-0.031047169142944843,-0.006369304418179733
2026-01-13,15.0,0.3333333333333333,0.8666666666666667,0.033492154296454864,-0.009269665981045208,-0.003061303385555103
